LOHIYA OUTLET AI — KIRANA UNIFIED SURVEY + INTERVIEW FLOW,,,,,,,,,,,,,,,
"Suggested visit flow: 1) Profile the outlet & operating model  →  2) Check digital / POS readiness and current bookkeeping  →  3) Understand customer demand, wishlist, and purchase sourcing  →  4) Capture reorder logic, SKU load, fast movers, and stock position  →  5) Review pricing, schemes, competition, and quick-commerce pressure  →  6) Assess credit, funding, working capital, and cash stress  →  7) Check AI adoption, trust, and success metrics.",,,,,,,,,,,,,,,
Sales-team instruction: Ask the structured survey questions first. Use interview probes only after the outlet owner/staff has responded to the structured question. Capture evidence in the observation column before scoring.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Seq,Stage,Question ID,Mode,Section / Theme,Question,Response Type,Answer Options / Probe Angle,Customer Input / Observation,Customer Rating (1-5),Business Impact (1-5),AI Fit / Feasibility (1-5),Weighted Score,Priority Bucket,Recommended Action,Sales Notes / Next Step
1,1. Outlet profile & business model,K-S01,Survey,Store Profile,What type of kirana store is this?,Single select,Neighborhood kirana; Mini supermarket; General store; Wholesale-retail hybrid; Other,Mini supermarket,4,4,1,3.40,P2 - Near Term,Discuss for MVP / Pilot,
2,1. Outlet profile & business model,K-S02,Survey,Store Profile,How many years has this outlet been operating?,Single select,<1 year; 1–3 years; 4–7 years; 8–15 years; 15+ years,4–7 years,3,4,5,3.75,P2 - Near Term,Discuss for MVP / Pilot,
3,1. Outlet profile & business model,K-S03,Survey,Store Profile,"How many people work in this outlet, including family members?",Single select,1; 2–3; 4–5; 6–10; 10+,6–10,4,3,1,3.05,P3 - Observe,Keep for later phase,
4,1. Outlet profile & business model,K-S29,Survey,Digital & POS Readiness,Are you using any device / computer / billing machine for POS or store operations?,Single select,No device / manual only; Smartphone only; Basic billing machine; Computer + billing/POS; Mixed setup,No device / manual only,3,3,1,2.60,P3 - Observe,Keep for later phase,
5,1. Outlet profile & business model,K-S30,Survey,Digital & POS Readiness,How would you rate your digital capability / knowledge for running the store?,5-point scale,1 Very low → 5 Very confident,,,,,,,,
6,1. Outlet profile & business model,K-S31,Survey,"Books, Sales & Profit Tracking","How do you enter purchases and sales today, and how do you arrive at profit?",Multi select,Memory only; Notebook / register; Calculator; Billing / POS report; Excel; Tally / accounting app; Family member / CA support; Not tracked clearly,,,,,,,,
7,1. Outlet profile & business model,K-I01,Interview Probe,Business Model & Economics,Walk me through how this store makes money across key categories.,Open-ended,What drives best margin? Fastest cash rotation? Emotionally vs financially important categories? | Signal: Margin-maximizing vs cash-maximizing behavior,,3,3,2,2.80,P3 - Observe,Keep for later phase,Base priority: High
8,1. Outlet profile & business model,K-I02,Interview Probe,Business Model & Economics,How do you decide what to reorder on a normal day or week?,Open-ended,What is memory-based? Distributor-based? Sales-based? | Signal: AI must fit existing reorder heuristics,,,,,,,,Base priority: High
9,"2. Customer demand, analytics & wishlist",K-S04,Survey,Sales Mix & Demand,Which categories contribute most to monthly sales?,Multi select,Staples; Snacks; Beverages; Dairy; Home care; Personal care; Frozen; Tobacco / impulse; Other,,,,,,,,
10,"2. Customer demand, analytics & wishlist",K-S05,Survey,Sales Mix & Demand,What share of sales is repeat local-customer vs walk-in impulse?,Single select,Mostly repeat; More repeat than impulse; Roughly equal; More impulse than repeat; Mostly impulse,,,,,,,,
11,"2. Customer demand, analytics & wishlist",K-S23,Survey,Customer Analytics & Wishlist,How do you currently identify repeat customers / regular households?,Single select,Mostly memory; Notebook; Billing / POS; WhatsApp lists; Loyalty / CRM; No formal method,,,,,,,,
12,"2. Customer demand, analytics & wishlist",K-S24,Survey,Customer Analytics & Wishlist,What unmet customer-demand / wishlist signals do you capture?,Multi select,Asked but unavailable items; Brand / pack-size requests; Price complaints; Competitor availability; Seasonal asks; WhatsApp requests; No formal capture,,,,,,,,
13,"2. Customer demand, analytics & wishlist",K-I15,Interview Probe,Customer Analytics & Wishlist,How do you know what repeat households buy regularly and what they wish you stocked?,Open-ended,"Do you track by memory, WhatsApp, billing history, notebook, staff feedback, or customer asks? | Signal: Customer analytics + wishlist capture model",,,,,,,,Base priority: High
14,"3. Reordering, sourcing & demand planning",K-S32,Survey,Purchase Frequency & Sourcing,How frequently do you purchase from the market / wholesale source?,Single select,Daily; 2–3 times per week; Weekly; Fortnightly; Monthly / only when needed,,,,,,,,
15,"3. Reordering, sourcing & demand planning",K-S33,Survey,Purchase Frequency & Sourcing,"For the same item, where do you usually buy from or compare before purchase?",Multi select,Primary distributor; Wholesale bazaar / mandi; Nearby shop / neighbor store; Online B2B (Udaan / JioMart / Jumbotail / Metro); Cash-and-carry; Depends on offer / availability,,,,,,,,
16,3. Reordering & demand planning,K-S06,Survey,Demand Planning,How do you decide what to reorder?,Multi select,Memory / owner judgment; Distributor recommendation; WhatsApp / phone demand; POS report; Family input; Scheme-led buying; Other,,,,,,,,
17,3. Reordering & demand planning,K-S07,Survey,Demand Planning,How often do you place replenishment orders?,Single select,Daily; 2–3 times per week; Weekly; Fortnightly; Monthly / as needed,,,,,,,,
18,3. Reordering & demand planning,K-S08,Survey,Demand Planning,What usually triggers urgent or last-minute purchases?,Multi select,Stockout; Demand spike; Distributor visit; Competitor pricing; Festival / season; Scheme / discount; Cash availability; Other,,,,,,,,
19,"4. Inventory, exceptions & daily stock position",K-S09,Survey,Inventory & Stock Health,How do you currently track stock levels?,Single select,No formal tracking; Notebook; Excel; Billing / POS; ERP; Mixed methods,,,,,,,,
20,"4. Inventory, exceptions & daily stock position",K-S10,Survey,Inventory & Stock Health,How often do stockouts happen for fast-moving items?,Single select,Daily; Weekly; 2–3 times per month; Rarely; Almost never,,,,,,,,
21,"4. Inventory, exceptions & daily stock position",K-S11,Survey,Inventory & Stock Health,How often do slow-moving or dead-stock items accumulate?,Single select,Very often; Often; Sometimes; Rarely; Never,,,,,,,,
22,"4. Inventory, exceptions & daily stock position",K-S34,Survey,SKU Complexity & Manageability,"How many SKUs do you manage in the store, and is it manageable?",Single select,"<500 and manageable; 500–1,000 and manageable; 1,000–2,000 somewhat difficult; 2,000+ difficult; Not sure of SKU count",,,,,,,,
23,"4. Inventory, exceptions & daily stock position",K-S35,Survey,Fast Movers & Replenishment,"Do you have clarity on fast-moving items, and how do you manage them?",Multi select,By memory; By daily sales habit; By distributor advice; By billing / POS report; By visual shelf checks; By staff feedback; No clear method,,,,,,,,
24,"4. Inventory, exceptions & daily stock position",K-S27,Survey,Day-to-Day Stock Position,"How often do you review opening stock, purchases, sales and closing stock?",Single select,Every day; 2–3 times per week; Weekly; Only during shortage; Rarely,,,,,,,,
25,"4. Inventory, exceptions & daily stock position",K-S28,Survey,Day-to-Day Stock Position,Which stock-position views are most useful every day?,Multi select,Opening vs closing stock; Fast movers; Low stock / stockout risk; Near-expiry / damaged stock; Scheme stock; High-value items; Dead stock,,,,,,,,
26,"4. Inventory, exceptions & daily stock position",K-I03,Interview Probe,Exception & Pain Handling,Tell me about the last unexpected stockout or demand spike.,Open-ended,What happened? How did you recover? What data would have helped? | Signal: Alert and exception use cases,,,,,,,,Base priority: High
27,"4. Inventory, exceptions & daily stock position",K-I04,Interview Probe,Exception & Pain Handling,Which products become slow-moving or dead stock most often?,Open-ended,How do you identify them today? What do you do with them? | Signal: Dead-stock reduction model,,,,,,,,Base priority: High
28,"4. Inventory, exceptions & daily stock position",K-I05,Interview Probe,Exception & Pain Handling,"How do you evaluate supplier schemes, discounts, or bundles?",Open-ended,What makes a scheme attractive? Have schemes led to overstock? | Signal: Scheme optimizer logic,,,,,,,,Base priority: High
29,"4. Inventory, exceptions & daily stock position",K-I17,Interview Probe,Day-to-Day Stock Position,"Show me how you know opening stock, inward, sales, returns, damaged stock, and closing stock each day.",Open-ended,What is reliable? What is missing? What view would help immediately? | Signal: Daily stock-position cockpit design,,,,,,,,Base priority: High
30,"5. Pricing, promotions, competition & scheme decisions",K-S12,Survey,Pricing & Promotions,How do you decide retail price changes or promotional pushes?,Multi select,MRP only; Distributor advice; Competitor check; Customer requests; Margin target; Seasonal demand; Other,,,,,,,,
31,"5. Pricing, promotions, competition & scheme decisions",K-S13,Survey,Pricing & Promotions,How important are supplier schemes in buying decisions? (1–5),5-point scale,1 Not important → 5 Extremely important,,,,,,,,
32,"5. Pricing, promotions, competition & scheme decisions",K-S36,Survey,Current Challenges & Competition,What are the current challenges affecting the store most?,Multi select,Competition from nearby kiranas; Preference shift to modern trade; Quick-commerce pressure; Too many items / SKU expansion; Capital-management stress; Cost increase / inflation; Margin pressure; Slow-moving stock; Staff / time constraints,,,,,,,,
33,"5. Pricing, promotions, competition & scheme decisions",K-S37,Survey,Quick-Commerce Monitoring,"How frequently do you check or compare quick-commerce platforms (Blinkit, Zepto, BB, Swiggy Instamart) for pricing, assortment, or offers?",Single select,Daily; Weekly; Occasionally; Rarely; Never,,,,,,,,
34,"6. Distributor influence, credit & capital management",K-S14,Survey,Distributor & Credit,How many distributor visits do you receive per week?,Single select,0–2; 3–5; 6–10; 11–15; 15+,,,,,,,,
35,"6. Distributor influence, credit & capital management",K-S15,Survey,Distributor & Credit,How much do you trust distributor recommendations? (1–5),5-point scale,1 Do not trust → 5 Trust completely,,,,,,,,
36,"6. Distributor influence, credit & capital management",K-S16,Survey,Distributor & Credit,How often do cash flow constraints affect stocking?,Single select,Always; Often; Sometimes; Rarely; Never,,,,,,,,
37,"6. Distributor influence, credit & capital management",K-S17,Survey,Distributor & Credit,Does customer credit (udhaar) influence stocking choices?,Single select,Yes significantly; Yes somewhat; No not really; No never,,,,,,,,
38,"6. Distributor influence, credit & capital management",K-S25,Survey,Capital Management & Funding,Which working-capital support options do you use or want most?,Multi select,Supplier credit; Banker OD / CC; NBFC short-term loan; Fintech / invoice credit; Family funds; SHG / informal borrowings; None,,,,,,,,
39,"6. Distributor influence, credit & capital management",K-S26,Survey,Capital Management & Funding,How often does working-capital shortage restrict your buying decisions?,Single select,Daily; Weekly; 2–3 times per month; Rarely; Never,,,,,,,,
40,"6. Distributor influence, credit & capital management",K-S38,Survey,Capital Management & Funding,"What is your typical working-capital range, and how frequently do you face cash-flow tightness?",Single select,Under ₹10L; ₹10–15L; ₹15–20L; Above ₹20L; Prefer not to say | Cash-flow tightness: Daily; Weekly; Monthly; Rarely,,,,,,,,
41,"6. Distributor influence, credit & capital management",K-I06,Interview Probe,External Influence & Cash,How much do distributor salesmen influence what you stock?,Open-ended,When do you agree vs disagree with them? | Signal: Channel influence dynamics,,,,,,,,Base priority: Medium
42,"6. Distributor influence, credit & capital management",K-I07,Interview Probe,External Influence & Cash,"When cash is tight, what changes first in stocking decisions?",Open-ended,Which products cut first? Which protected? | Signal: Cash-aware recommendations,,,,,,,,Base priority: High
43,"6. Distributor influence, credit & capital management",K-I08,Interview Probe,External Influence & Cash,How do you know customer tastes are changing?,Open-ended,"Repeat asks, WhatsApp, neighborhood trends, festivals? | Signal: Local demand modeling",,,,,,,,Base priority: Medium
44,"6. Distributor influence, credit & capital management",K-I09,Interview Probe,External Influence & Cash,When do you actively push one brand/SKU over another?,Open-ended,Margin? Availability? Incentive? Customer preference? | Signal: Recommendation & promotion logic,,,,,,,,Base priority: Medium
45,"6. Distributor influence, credit & capital management",K-I16,Interview Probe,Capital Management & Funding,"When working capital is tight, what financing support would change your buying pattern most?",Open-ended,"Supplier credit, banker OD/CC, NBFC loan, invoice finance, family funds, informal borrowing? | Signal: Funding support design + lender/NBFC use case",,,,,,,,Base priority: High
46,"7. Digital readiness, trust & AI adoption",K-S18,Survey,Digital Readiness & AI Adoption,Which apps do you use regularly for business?,Multi select,WhatsApp; Billing / POS; Distributor app; Marketplace app; Excel; Tally; UPI / banking; None; Other,,,,,,,,
47,"7. Digital readiness, trust & AI adoption",K-S19,Survey,Digital Readiness & AI Adoption,Comfort with data-based suggestions on phone? (1–5),5-point scale,1 Not comfortable → 5 Very comfortable,,,,,,,,
48,"7. Digital readiness, trust & AI adoption",K-S20,Survey,Digital Readiness & AI Adoption,Which AI outputs would be most valuable? (Rank top 3),Rank top 3,What to reorder; How much to reorder; Items to push; Stockout risk; Dead stock alert; Best schemes; Competitor price alerts,,,,,,,,
49,"7. Digital readiness, trust & AI adoption",K-S21,Survey,Digital Readiness & AI Adoption,Would you act on a recommendation showing sales/margin/stock impact?,Single select,Yes definitely; Probably yes; Not sure; Probably no; Definitely no,,,,,,,,
50,"7. Digital readiness, trust & AI adoption",K-S22,Survey,Digital Readiness & AI Adoption,Who would actually use an outlet AI tool most often?,Single select,Owner; Store manager; Billing staff; Family member; Salesman; No one sure yet,,,,,,,,
51,"7. Digital readiness, trust & AI adoption",K-I10,Interview Probe,"Systems, Trust & Adoption",Show me how sales and stock data are recorded today.,Open-ended,What is digital? What stays in heads? What is reliable? | Signal: Integration feasibility,,,,,,,,Base priority: High
52,"7. Digital readiness, trust & AI adoption",K-I11,Interview Probe,"Systems, Trust & Adoption",What would make you trust an AI recommendation?,Open-ended,Need reasons? Proof from similar shops? Impact estimates? | Signal: Explainability design,,,,,,,,Base priority: High
53,"7. Digital readiness, trust & AI adoption",K-I12,Interview Probe,"Systems, Trust & Adoption",When in the day/week would you use a recommendation tool?,Open-ended,Morning planning? Before distributor visit? End-of-day? | Signal: Product timing design,,,,,,,,Base priority: Medium
54,"7. Digital readiness, trust & AI adoption",K-I13,Interview Probe,"Systems, Trust & Adoption",Who makes the final decision on buying more/less?,Open-ended,Owner only? Can staff act? | Signal: User roles and approval,,,,,,,,Base priority: Medium
55,"7. Digital readiness, trust & AI adoption",K-I14,Interview Probe,"Systems, Trust & Adoption","If this tool works, what business outcome should improve first?",Open-ended,Less stockout? Less dead stock? Better margin? Better turns? | Signal: Pilot KPIs,,,,,,,,Base priority: High